ID,Country,age,gender,ses,jobnature,religion,married,IGF01,IGF02,IGF03,IGI01,IGI02,IGI03,OGF01,OGF02,OGF03,OGI01,OGI02,OGI03,ENDBCL01,ENDBCL02,ENDBCL03,ENDBBL01,ENDBBL02,ENDBBL03,EXPBCL01,EXPBCL02,EXPBCL03,EXPBBL01,EXPBBL02,EXPBBL03,empathic_concern_01,empathic_concern_02,empathic_concern_03,perspective_taking_01,perspective_taking_02,perspective_taking_03,perspective_taking_04,history_discrimination,og_hostility,og_cooperation,fight_outgroup,imagistic,Event_positive_affect,Event_negative_affect,Event_episodic_recall,Event_shared_perception,Event_event_reflection,Event_transformative_indiv,Event_transformative_group,bbl,bcl,igfusion,igidentification,ogbonds,empathic_concern,perspective_taking,Event_reflection,Event_imagistic,BCL,BBL,Ingroup_fusion,Ingroup_identification,Outgroup_bonds,Age,Gender: ,SES: ,Empathic_concern,Perspective_taking,Perceived_discrimination,OG_hostility,OG_cooperation,Fight_OG
GMB1,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB10,Gambia,22,Male,Middle,Self-employed,Muslim: Sunni,Unmarried,6,6,5,6,6,6,2,2,2,2,2,2,6,6,5,5,5,5,4,4,4,4,4,4,6,7,5,5,5,5,5,2,2.5,3.5,3,29.5,5,5,6,5.5,2,2.5,3.5,5,5.66666666666667,5.66666666666667,6,2,6,5,2,29.5,5.66666666666667,5,5.66666666666667,6,2,22,Male,Middle,6,5,2,2.5,3.5,3
GMB100,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB101,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB102,Gambia,40,Male,Middle,Government,Muslim: Sunni,Married,7,6,4,6,6,6,6,4,4,6,6,6,7,7,7,7,6,6,2,2,1,1,1,1,7,1,7,6,6,6,6,7,1.5,3.5,2,30,4,1,4,4,6.5,5.5,5,6.33333333333333,7,5.66666666666667,6,5.33333333333333,5,6,6.5,30,7,6.33333333333333,5.66666666666667,6,5.33333333333333,40,Male,Middle,5,6,7,1.5,3.5,2
GMB103,Gambia,50,Male,Middle,Self-employed,Christian: Other,Married,,6,6,5,5,6,5,,,5,5,5,2,5,6,6,4,2,2,7,7,7,4,1,6,2,7,7,7,6,6,7,1,4,1,41.5,2,7,7,7,7,7,4.5,4,4.33333333333333,,5.33333333333333,,5,6.5,7,41.5,4.33333333333333,4,,5.33333333333333,,50,Male,Middle,5,6.5,7,1,4,1
GMB104,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB105,Gambia,28,Female,Lower middle,Government,Muslim: Sunni,Unmarried,6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,6,6,6,6,6,6,5,5,7,1,7,7,7,7,7,7,7,4,7,29,5,6,5,7,2,2,2,6.33333333333333,7,6,6,5,5,7,2,29,7,6.33333333333333,6,6,5,28,Female,Lower middle,5,7,7,7,4,7
GMB106,Gambia,34,Male,Middle,Government,Muslim: Sunni,Married,6,7,2,7,6,6,2,1,1,2,2,2,1,6,7,2,2,2,4,5,4,1,1,1,6,6,6,6,6,6,6,6,2.5,4,6,29.5,2,6,4.5,7,1.5,4.5,4,2,4.66666666666667,5,6.33333333333333,1.66666666666667,6,6,1.5,29.5,4.66666666666667,2,5,6.33333333333333,1.66666666666667,34,Male,Middle,6,6,6,2.5,4,6
GMB107,Gambia,24,Male,Lower middle,Government,Muslim: Sunni,Unmarried,7,7,7,2,6,6,1,2,2,2,5,6,7,7,6,6,6,7,7,6,7,7,6,6,3,3,7,5,6,6,7,6,4,4,7,38,1,7,6.5,6,5.5,6,6,6.33333333333333,6.66666666666667,7,4.66666666666667,3,4.33333333333333,6,5.5,38,6.66666666666667,6.33333333333333,7,4.66666666666667,3,24,Male,Lower middle,4.33333333333333,6,6,4,4,7
GMB108,Gambia,61,Male,Upper middle,Government,Muslim: Sunni,Married,6,5,5,6,6,6,3,3,3,2,2,2,6,6,6,5,5,5,6,6,6,4,4,4,6,6,6,6,6,6,6,6,2,4.5,2,28,4,5,5,6,1.5,2.5,4,5,6,5.33333333333333,6,2.5,6,6,1.5,28,6,5,5.33333333333333,6,2.5,61,Male,Upper middle,6,6,6,2,4.5,2
GMB109,Gambia,44,Male,Upper middle,Government,Muslim: Sunni,Married,6,6,5,6,6,6,3,2,2,2,6,2,6,6,6,6,6,5,5,7,7,5,5,5,6,6,6,6,6,6,6,6,2,4,3,28,2,6,4,6,2,4,4,5.66666666666667,6,5.66666666666667,6,2.83333333333333,6,6,2,28,6,5.66666666666667,5.66666666666667,6,2.83333333333333,44,Male,Upper middle,6,6,6,2,4,3
GMB11,Gambia,27,Female,Upper middle,Non-government,Muslim: Sunni,Married,7,7,6,7,7,7,1,1,1,1,1,1,7,7,7,6,6,6,7,7,7,5,5,5,6,7,5,6,6,6,6,3,3,3,3,30,5,5,6,6,2,2.5,3.5,6,7,6.66666666666667,7,1,6,6,2,30,7,6,6.66666666666667,7,1,27,Female,Upper middle,6,6,3,3,3,3
GMB110,Gambia,37,Male,Middle,Government,Christian: Catholic,Unmarried,6,6,6,6,7,6,7,6,6,6,6,4,2,1,2,6,6,6,1,5,5,5,5,5,6,6,4,,6,6,6,6,3,4,6,38,2,6,6,6,6,6,6,6,1.66666666666667,6,6.33333333333333,5.83333333333333,5.33333333333333,,6,38,1.66666666666667,6,6,6.33333333333333,5.83333333333333,37,Male,Middle,5.33333333333333,,6,3,4,6
GMB111,Gambia,55,Male,Upper middle,Government,Muslim: Sunni,Married,7,6,6,7,7,7,5,1,1,2,1,1,2,6,6,6,6,7,1,7,7,5,4,6,6,7,6,7,6,6,6,7,1.5,3.5,6,36,1,7,4,7,6.5,4,6.5,6.33333333333333,4.66666666666667,6.33333333333333,7,1.83333333333333,6.33333333333333,6.25,6.5,36,4.66666666666667,6.33333333333333,6.33333333333333,7,1.83333333333333,55,Male,Upper middle,6.33333333333333,6.25,7,1.5,3.5,6
GMB112,Gambia,90,Female,Lower middle,Self-employed,Muslim: Sunni,Other,7,6,5,1,7,6,2,1,1,2,1,1,6,6,6,2,1,7,6,6,6,1,5,1,7,2,6,7,5,6,4,7,2,4,3,27,1,7,4.5,6,1.5,3.5,3.5,3.33333333333333,6,6,4.66666666666667,1.33333333333333,5,5.5,1.5,27,6,3.33333333333333,6,4.66666666666667,1.33333333333333,90,Female,Lower middle,5,5.5,7,2,4,3
GMB113,Gambia,35,Male,Lower middle,Non-government,Muslim: Sunni,Unmarried,7,7,7,6,7,7,4,2,2,2,4,1,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,7,5,6,6,6,2.5,4,6,28.5,2,6,6,5.5,2,2,5,5.66666666666667,6,7,6.66666666666667,2.5,6,6,2,28.5,6,5.66666666666667,7,6.66666666666667,2.5,35,Male,Lower middle,6,6,6,2.5,4,6
GMB114,Gambia,55,Male,Middle,Self-employed,Muslim: Sunni,Married,6,6,6,6,6,6,6,,6,2,2,5,6,6,6,5,3,6,1,5,5,5,5,5,6,6,6,6,6,6,6,6,2,4,2,37.5,1,6,6,6,6,6,6.5,4.66666666666667,6,6,6,,6,6,6,37.5,6,4.66666666666667,6,6,,55,Male,Middle,6,6,6,2,4,2
GMB115,Gambia,70,Male,Lower middle,Self-employed,Muslim: Sunni,Other,6,6,5,6,7,7,7,2,2,2,5,4,6,6,6,2,6,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,3.5,4,4,30.5,2,6,5,6,3,3,5.5,4.66666666666667,6,5.66666666666667,6.66666666666667,3.66666666666667,6,6,3,30.5,6,4.66666666666667,5.66666666666667,6.66666666666667,3.66666666666667,70,Male,Lower middle,6,6,6,3.5,4,4
GMB116,Gambia,,Male,Middle,Non-government,Muslim: Sunni,Unmarried,7,6,7,6,6,7,5,2,2,2,5,1,2,6,6,6,2,6,5,5,5,6,6,6,7,7,6,7,6,6,6,7,3.5,4,4,31.5,2,6,6.5,6.5,3.5,3.5,3.5,4.66666666666667,4.66666666666667,6.66666666666667,6.33333333333333,2.83333333333333,6.66666666666667,6.25,3.5,31.5,4.66666666666667,4.66666666666667,6.66666666666667,6.33333333333333,2.83333333333333,,Male,Middle,6.66666666666667,6.25,7,3.5,4,4
GMB117,Gambia,37,Male,Upper,Non-government,Christian: Protestant,Married,7,7,7,6,7,7,7,6,2,6,6,5,6,6,6,6,7,7,7,4,7,7,6,7,7,7,7,7,7,7,7,7,5,4,1,37,2,7,6.5,7,3.5,4.5,6.5,6.66666666666667,6,7,6.66666666666667,5.33333333333333,7,7,3.5,37,6,6.66666666666667,7,6.66666666666667,5.33333333333333,37,Male,Upper,7,7,7,5,4,1
GMB118,Gambia,32,Male,Middle,Government,Muslim: Sunni,Married,6,4,4,6,6,6,2,2,2,2,2,2,7,7,7,5,5,5,7,7,7,4,4,4,5,5,6,5,5,5,4,5,4,5,4,29,4,5,5,5,2.5,3.5,4,5,7,4.66666666666667,6,2,5.33333333333333,4.75,2.5,29,7,5,4.66666666666667,6,2,32,Male,Middle,5.33333333333333,4.75,5,4,5,4
GMB119,Gambia,48,Male,Middle,Self-employed,Muslim: Sunni,Married,6,7,2,6,6,6,6,6,6,6,5,5,6,6,7,6,7,7,7,6,5,6,6,6,6,6,5,6,6,6,6,6,2,4,2,33,6,7,3.5,6,4,4.5,2,6.66666666666667,6.33333333333333,5,6,5.66666666666667,5.66666666666667,6,4,33,6.33333333333333,6.66666666666667,5,6,5.66666666666667,48,Male,Middle,5.66666666666667,6,6,2,4,2
GMB12,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB120,Gambia,31,Male,Middle,Government,Muslim: Sunni,Unmarried,7,7,7,7,7,,3,5,5,5,5,5,7,6,6,7,7,1,7,4,4,4,1,1,7,7,7,7,7,7,5,4,4.5,3,4,31.5,7,1,5.5,4,4,4,6,5,6.33333333333333,7,,4.66666666666667,7,6.5,4,31.5,6.33333333333333,5,7,,4.66666666666667,31,Male,Middle,7,6.5,4,4.5,3,4
GMB121,Gambia,56,Female,Middle,Government,Muslim: Sunni,Married,7,7,4,4,4,4,4,4,4,5,5,5,6,6,6,5,5,1,6,6,6,5,5,1,7,7,7,7,7,7,6,5,3,3,4,25.5,1,6,4.5,5,4,1,4,3.66666666666667,6,6,4,4.5,7,6.75,4,25.5,6,3.66666666666667,6,4,4.5,56,Female,Middle,7,6.75,5,3,3,4
GMB122,Gambia,34,Male,Lower middle,Self-employed,Muslim: Sunni,Unmarried,6,6,6,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,5,4.5,2,5,28,1,7,5.5,6,4,1,3.5,7,7,6,5,5,5,7,4,28,7,7,6,5,5,34,Male,Lower middle,5,7,5,4.5,2,5
GMB123,Gambia,41,Male,Middle,Self-employed,Muslim: Sunni,Married,,5,5,2,4,4,4,4,4,4,4,4,7,7,7,7,5,5,7,7,7,7,4,4,7,1,7,7,7,7,7,1,2.5,4,4,28.5,1,7,5.5,5,4,1,5,5.66666666666667,7,,3.33333333333333,4,5,7,4,28.5,7,5.66666666666667,,3.33333333333333,4,41,Male,Middle,5,7,1,2.5,4,4
GMB124,Gambia,28,Male,Middle,Non-government,Christian: Protestant,Married,6,6,6,6,6,7,2,2,1,1,1,1,7,5,6,6,6,6,4,5,4,5,4,4,5,6,6,6,6,6,5,6,6,1.5,6,30,2,6,6,6,2.5,4,3.5,6,6,6,6.33333333333333,1.33333333333333,5.66666666666667,5.75,2.5,30,6,6,6,6.33333333333333,1.33333333333333,28,Male,Middle,5.66666666666667,5.75,6,6,1.5,6
GMB125,Gambia,50,Male,Upper,Government,Muslim: Sunni,Married,7,7,7,7,7,7,6,4,4,1,5,5,7,7,7,1,1,1,7,7,7,1,1,1,7,7,6,6,5,6,5,7,1,4,5,28,5,3,7,4.5,1,3.5,4,1,7,7,7,4.16666666666667,6.66666666666667,5.5,1,28,7,1,7,7,4.16666666666667,50,Male,Upper,6.66666666666667,5.5,7,1,4,5
